Lon,Lat,HF [mW/m2],HF_min [mW/m2],HF_max [mW/m2],HF_max_abs [mW/m2]
33.913000000000004,-84.5,53.015,47.437,58.628,11.190999999999999
39.13,-84.5,52.909,48.786,59.091,10.305
44.348,-84.5,61.633,49.099,61.633,12.534
49.565,-84.5,57.544,45.504,57.544,12.04
54.783,-84.5,56.582,50.368,56.582,6.2139999999999995
60.0,-84.5,54.869,50.603,55.347,4.744
65.217,-84.5,55.21,51.092,58.667,7.575
70.435,-84.5,56.324,52.957,57.703,4.746
75.652,-84.5,59.745,55.855,59.745,3.89
80.87,-84.5,57.711000000000006,57.711000000000006,62.201,4.49
86.087,-84.5,57.18600000000001,57.18600000000001,61.011,3.825
91.304,-84.5,58.526,58.526,61.402,2.8760000000000003
96.522,-84.5,66.604,57.104,68.322,11.218
101.73899999999999,-84.5,65.865,60.598,66.22,5.622000000000001
106.95700000000001,-84.5,63.522,57.138000000000005,63.534,6.396
112.17399999999999,-84.5,65.693,59.95,65.916,5.966
117.391,-84.5,60.77,56.51,62.293,5.7829999999999995
122.609,-84.5,55.349,51.113,63.18,12.067
127.82600000000001,-84.5,51.773,51.773,64.858,13.085
133.043,-84.5,54.53,54.53,67.56,13.03
138.261,-84.5,55.808,55.808,67.243,11.435
143.47799999999998,-84.5,61.45399999999999,61.45399999999999,65.73,4.276
148.696,-84.5,63.375,63.36600000000001,67.967,4.601
153.91299999999998,-84.5,62.193000000000005,62.193000000000005,69.125,6.932
159.13,-84.5,66.251,61.26,68.415,7.155
164.34799999999998,-84.5,63.54,57.946000000000005,64.539,6.593
169.565,-84.5,63.367,56.872,66.865,9.993
174.783,-84.5,68.60600000000001,58.032,68.60600000000001,10.574000000000002
180.0,-84.5,64.411,62.643,65.046,2.403
-180.0,-84.0,79.167,64.656,79.167,14.511
-175.2,-84.0,79.404,68.726,79.404,10.677999999999999
-170.4,-84.0,80.00399999999999,76.08,81.975,5.895
-165.6,-84.0,76.029,75.505,80.161,4.656000000000001
-160.8,-84.0,83.20200000000001,77.965,89.72200000000001,11.757
-156.0,-84.0,87.083,85.31,88.027,2.717
-151.2,-84.0,75.958,68.41,79.79,11.38
-146.4,-84.0,65.516,61.114,66.164,5.05
-141.6,-84.0,73.872,62.36,76.609,14.249
-136.8,-84.0,58.617,58.617,67.866,9.249
-132.0,-84.0,74.791,70.167,87.321,17.154
-127.2,-84.0,68.155,65.405,90.07799999999999,24.673000000000002
-122.4,-84.0,55.111000000000004,52.477,67.26,14.783
-117.6,-84.0,53.993,53.993,64.618,10.625
-112.8,-84.0,59.022,59.022,63.693999999999996,4.672
-108.0,-84.0,59.041000000000004,59.041000000000004,68.102,9.061
-103.2,-84.0,70.05199999999999,70.05199999999999,70.904,0.852
-98.4,-84.0,66.3,65.035,68.061,3.0260000000000002
-93.6,-84.0,66.702,65.03,70.52,5.49
-88.8,-84.0,73.064,69.857,75.977,6.12
-84.0,-84.0,66.836,66.376,69.936,3.56
-79.2,-84.0,66.563,64.602,77.171,12.569
-74.4,-84.0,74.275,70.824,75.025,4.2010000000000005
-69.6,-84.0,74.911,64.661,74.911,10.25
-64.8,-84.0,67.888,63.096000000000004,73.492,10.395999999999999
-60.0,-84.0,57.178999999999995,57.178999999999995,63.979,6.8
-55.2,-84.0,64.753,63.567,68.973,5.406000000000001
